idRestaurante,idPlatillo,precio,disponible
1,5,40.6,true
1,15,32.11,true
1,16,83.53,true
1,20,185.65,true
1,27,88.75,true
1,39,27.66,true
1,49,29.4,true
3,3,272.46,true
3,4,101.38,false
3,7,204.19,true
3,20,146.9,false
3,22,208.62,false
3,26,123.77,false
3,29,52.03,true
3,30,233.67,true
3,31,59.61,false
3,33,114.0,true
3,43,72.9,false
3,46,277.36,true
8,3,219.84,false
8,4,56.45,true
8,9,289.89,false
8,24,42.74,false
8,34,223.86,true
8,47,156.55,true
8,49,199.3,false
8,50,209.65,false
10,4,86.54,false
10,5,296.68,true
10,23,139.06,true
10,24,282.19,false
10,39,185.65,false
10,49,266.84,false
11,3,57.55,false
11,8,230.39,false
11,13,157.81,true
11,15,294.67,false
11,17,103.24,false
11,19,139.54,false
11,21,37.4,true
11,24,218.61,true
11,27,153.39,true
11,34,266.36,false
11,39,131.72,true
11,40,217.88,true
11,41,69.0,false
11,45,179.98,false
11,48,145.36,false
13,2,261.1,true
13,4,188.2,true
13,8,146.19,false
13,9,269.54,false
13,16,25.95,false
13,18,141.54,true
13,26,298.26,true
13,36,192.97,true
13,46,130.78,false
13,48,140.18,false
14,4,220.01,true
14,15,239.73,false
14,28,135.48,true
14,48,152.87,true
15,8,268.75,true
15,9,141.84,true
15,13,151.42,true
15,16,46.31,false
15,17,146.7,false
15,19,148.19,false
15,24,257.54,true
15,27,203.42,false
15,40,246.65,false
15,48,45.11,false
15,50,45.55,true
16,2,142.05,true
16,7,99.6,true
16,17,56.77,false
16,18,299.59,true
16,20,33.39,true
16,21,283.58,true
16,29,239.23,false
16,37,31.57,true
16,40,294.91,true
16,47,117.07,true
17,4,34.37,true
17,7,240.15,false
17,11,93.89,true
17,13,39.14,false
17,17,120.18,false
17,19,156.34,false
17,23,283.76,true
17,28,58.35,false
17,32,182.27,true
17,42,277.39,false
17,48,243.07,true
17,49,135.82,false
17,50,136.24,true
18,3,89.05,true
18,9,87.12,true
18,12,183.12,false
18,14,164.58,true
18,19,216.98,false
18,35,189.87,true
18,37,48.88,true
20,1,81.38,true
